epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,322.112,1.08107,1.91386,1.36788,0.62593,0.61698,0.62832,0.44977,1.31224,1.97135,1.49864,0.000332824,0.000332824,0.000332824
2,664.758,1.10048,1.37414,1.36139,0.70486,0.62113,0.64387,0.4345,1.47934,1.5498,1.58381,0.00064967,0.00064967,0.00064967
3,958.306,1.09234,1.2369,1.35508,0.6326,0.6024,0.642,0.43593,1.41012,1.51113,1.55576,0.000950016,0.000950016,0.000950016
4,1673.04,1.05508,1.13876,1.3289,0.66549,0.64701,0.67193,0.47057,1.32304,1.34198,1.46315,0.00092575,0.00092575,0.00092575
5,2014.3,1.00619,1.05761,1.29467,0.73474,0.66027,0.72149,0.52356,1.24872,1.15959,1.41001,0.000901,0.000901,0.000901
6,2412.96,0.98143,1.00486,1.2747,0.72647,0.7217,0.73447,0.52818,1.22265,1.13049,1.39991,0.00087625,0.00087625,0.00087625
7,2755.43,0.94756,0.94805,1.25371,0.67965,0.69558,0.71193,0.51412,1.28527,1.13342,1.41,0.0008515,0.0008515,0.0008515
8,3163.42,0.9302,0.91957,1.24108,0.67777,0.71003,0.72261,0.52749,1.18235,1.06284,1.36287,0.00082675,0.00082675,0.00082675
9,3507.55,0.89576,0.87243,1.2168,0.7301,0.74217,0.76227,0.55353,1.17874,1.02983,1.35268,0.000802,0.000802,0.000802
10,3907.82,0.88814,0.85263,1.21777,0.75799,0.74786,0.77134,0.5773,1.1337,1.00308,1.33107,0.00077725,0.00077725,0.00077725
11,4249.94,0.87192,0.83225,1.20297,0.78479,0.72599,0.77406,0.57419,1.14138,1.00391,1.31666,0.0007525,0.0007525,0.0007525
12,4648.89,0.85756,0.81664,1.19707,0.76134,0.7425,0.77029,0.58363,1.10245,0.98005,1.30279,0.00072775,0.00072775,0.00072775
13,4989.95,0.84447,0.79139,1.18727,0.74211,0.7553,0.7717,0.57636,1.10628,0.96844,1.30063,0.000703,0.000703,0.000703
14,5393.71,0.83992,0.78977,1.18261,0.77872,0.77145,0.78199,0.59745,1.09443,0.91703,1.27548,0.00067825,0.00067825,0.00067825
15,5739.97,0.8325,0.77635,1.17778,0.73385,0.77329,0.7853,0.5912,1.10239,0.92778,1.2791,0.0006535,0.0006535,0.0006535
16,6136.29,0.81374,0.75671,1.17076,0.7751,0.74465,0.78945,0.59491,1.09128,0.94042,1.27865,0.00062875,0.00062875,0.00062875
17,6477.34,0.79955,0.73956,1.15935,0.77755,0.76696,0.78983,0.60171,1.06489,0.90046,1.27422,0.000604,0.000604,0.000604
18,6879.88,0.79832,0.72602,1.15829,0.77088,0.76859,0.79422,0.60524,1.06694,0.89274,1.26306,0.00057925,0.00057925,0.00057925
19,7201.96,0.7824,0.71014,1.14456,0.77538,0.76165,0.79,0.5984,1.06076,0.89762,1.26492,0.0005545,0.0005545,0.0005545
20,7538.59,0.77659,0.70281,1.14188,0.7727,0.76644,0.7961,0.61147,1.05561,0.88289,1.26086,0.00052975,0.00052975,0.00052975
21,7933.16,0.7679,0.68404,1.13716,0.80248,0.78197,0.80493,0.61671,1.04441,0.85932,1.25233,0.000505,0.000505,0.000505
22,8272.64,0.75408,0.67224,1.13201,0.77417,0.78401,0.8009,0.61347,1.06084,0.85435,1.26065,0.00048025,0.00048025,0.00048025
23,8673.41,0.75633,0.67864,1.13511,0.79886,0.78334,0.80162,0.61504,1.05145,0.8555,1.25139,0.0004555,0.0004555,0.0004555
24,9014.2,0.73719,0.65052,1.11607,0.79435,0.78919,0.80409,0.61906,1.03737,0.83853,1.2439,0.00043075,0.00043075,0.00043075
25,9415.3,0.73208,0.64862,1.11665,0.79558,0.78533,0.803,0.61717,1.03791,0.82694,1.24278,0.000406,0.000406,0.000406
26,9753.56,0.72517,0.63371,1.11342,0.79701,0.788,0.8132,0.62995,1.03202,0.8372,1.22853,0.00038125,0.00038125,0.00038125
27,10155.3,0.7124,0.62332,1.10073,0.80592,0.7839,0.81043,0.6301,1.02917,0.82685,1.23455,0.0003565,0.0003565,0.0003565
28,10495.4,0.71505,0.62548,1.1041,0.80354,0.79205,0.81674,0.63355,1.01767,0.8124,1.22192,0.00033175,0.00033175,0.00033175
29,10799.4,0.69854,0.61019,1.09529,0.81027,0.79207,0.81658,0.62806,1.03615,0.8129,1.23241,0.000307,0.000307,0.000307
30,11112.1,0.69218,0.60448,1.0908,0.80038,0.78986,0.81839,0.63184,1.02678,0.80815,1.23179,0.00028225,0.00028225,0.00028225
